spending,xx,yy,total,budget
Housing,10,10,45,in budget
Housing,20,10,45,in budget
Housing,30,10,45,in budget
Housing,40,10,45,in budget
Housing,50,10,45,in budget
Housing,60,10,45,in budget
Housing,70,10,45,in budget
Housing,80,10,45,in budget
Housing,90,10,45,in budget
Housing,100,10,45,in budget
Housing,10,20,45,in budget
Housing,20,20,45,in budget
Housing,30,20,45,in budget
Housing,40,20,45,in budget
Housing,50,20,45,in budget
Housing,60,20,45,in budget
Housing,70,20,45,in budget
Housing,80,20,45,in budget
Housing,90,20,45,in budget
Housing,100,20,45,in budget
Housing,10,30,45,in budget
Housing,20,30,45,in budget
Housing,30,30,45,in budget
Housing,40,30,45,in budget
Housing,50,30,45,in budget
Housing,60,30,45,in budget
Housing,70,30,45,in budget
Housing,80,30,45,in budget
Housing,90,30,45,in budget
Housing,100,30,45,in budget
Housing,10,40,45,in budget
Housing,20,40,45,in budget
Housing,30,40,45,in budget
Housing,40,40,45,in budget
Housing,50,40,45,in budget
Housing,60,40,45,in budget
Housing,70,40,45,in budget
Housing,80,40,45,in budget
Housing,90,40,45,in budget
Housing,100,40,45,in budget
Housing,10,50,45,in budget
Housing,20,50,45,in budget
Housing,30,50,45,in budget
Housing,40,50,45,in budget
Housing,50,50,45,in budget
Food,60,50,18,in budget
Food,70,50,18,in budget
Food,80,50,18,in budget
Food,90,50,18,in budget
Food,100,50,18,in budget
Food,10,60,18,in budget
Food,20,60,18,in budget
Food,30,60,18,in budget
Food,40,60,18,in budget
Food,50,60,18,in budget
Food,60,60,18,in budget
Food,70,60,18,in budget
Food,80,60,18,in budget
Food,90,60,18,in budget
Food,100,60,18,in budget
Food,10,70,18,in budget
Food,20,70,18,in budget
Food,30,70,18,in budget
Transportation,40,70,22,in budget
Transportation,50,70,22,in budget
Transportation,60,70,22,in budget
Transportation,70,70,22,in budget
Transportation,80,70,22,in budget
Transportation,90,70,22,in budget
Transportation,100,70,22,in budget
Transportation,10,80,22,in budget
Transportation,20,80,22,in budget
Transportation,30,80,22,in budget
Transportation,40,80,22,in budget
Transportation,50,80,22,in budget
Transportation,60,80,22,in budget
Transportation,70,80,22,in budget
Transportation,80,80,22,in budget
Transportation,90,80,22,in budget
Transportation,100,80,22,in budget
Transportation,10,90,22,in budget
Transportation,20,90,22,in budget
Transportation,30,90,22,in budget
Transportation,40,90,22,in budget
Transportation,50,90,22,in budget
Healthcare,60,90,12,in budget
Healthcare,70,90,12,in budget
Healthcare,80,90,12,in budget
Healthcare,90,90,12,in budget
Healthcare,100,90,12,in budget
Healthcare,10,100,12,in budget
Healthcare,20,100,12,in budget
Healthcare,30,100,12,in budget
Healthcare,40,100,12,in budget
Healthcare,50,100,12,in budget
Healthcare,60,100,12,in budget
Healthcare,70,100,12,in budget
Apparel,80,100,5,in budget
Apparel,90,100,5,in budget
Apparel,100,100,5,in budget
Apparel,10,110,26,23% over budget
Apparel,20,110,26,23% over budget
Education,30,110,26,23% over budget
Entertainment,40,110,26,23% over budget
Entertainment,50,110,26,23% over budget
Entertainment,60,110,26,23% over budget
Entertainment,70,110,26,23% over budget
Entertainment,80,110,26,23% over budget
Entertainment,90,110,26,23% over budget
Miscellaneous,100,110,26,23% over budget
Miscellaneous,10,120,26,23% over budget
Miscellaneous,20,120,26,23% over budget
Miscellaneous,30,120,26,23% over budget
Miscellaneous,40,120,26,23% over budget
Miscellaneous,50,120,26,23% over budget
Miscellaneous,60,120,26,23% over budget
Miscellaneous,70,120,26,23% over budget
Miscellaneous,80,120,26,23% over budget
Miscellaneous,90,120,26,23% over budget
Miscellaneous,100,120,26,23% over budget
Miscellaneous,10,130,26,23% over budget
Miscellaneous,20,130,26,23% over budget
Miscellaneous,30,130,26,23% over budget
,40,130,,
,50,130,,
,60,130,,
,70,130, , 
,80,130, , 
,90,130, , 
,100,130, , 
,10,140, , 
,20,140, , 
,30,140, , 
,40,140, , 
,50,140, , 
,60,140, , 
,70,140, , 
,80,140, , 
,90,140, , 
,100,140, , 
,10,150, , 
,20,150, , 
,30,150, , 
,40,150, , 
,50,150, , 
,60,150, , 
,70,150, , 
,80,150, , 
,90,150, , 
,100,150, , 
,10,160, , 
,20,160, , 
,30,160, , 
,40,160, , 
,50,160, , 
,60,160, , 
,70,160, , 
,80,160, , 
,90,160, , 
,100,160, , 
,10,170, , 
,20,170, , 
,40,170, , 
,30,170, , 
,50,170, , 
,60,170, , 
,70,170, , 
,80,170, , 
,90,170, , 
,100,170, , 
,10,180, , 
,20,180, , 
,30,180, , 
,40,180, , 
,50,180, , 
,60,180, , 
,70,180, , 
,80,180, , 
,90,180, , 
,100,180, , 
,10,190, , 
,20,190, , 
,30,190, , 
,40,190, , 
,50,190, , 
,60,190, , 
,70,190, , 
,80,190, , 
,90,190, , 
,100,190, , 
,10,200, , 
,20,200, , 
,30,200, , 
,40,200, , 
,50,200, , 
,60,200, , 
,70,200, , 
,80,200, , 
,90,200, , 
,100,200, , 
,10,210, , 
,20,210, , 
,30,210, , 
,40,210, , 
,50,210, , 
,60,210, , 
,70,210, , 
,80,210, , 
,90,210, , 
,100,210, , 
,10,220, , 
,20,220, , 
,30,220, , 
,40,220, , 
,50,220, , 
,60,220, , 
,70,220, , 
,80,220, , 
,90,220, , 
,100,220, , 
,10,230, , 
,20,230, , 
,30,230, , 
,40,230, , 
,50,230, , 
,60,230, , 
,70,230, , 
,80,230, , 
,90,230, , 
,100,230, , 
,10,240, , 
,20,240, , 
,30,240, , 
,40,240, , 
,50,240, , 
